GEOID,total_pop,tot_workers,median_income,avg_commute,pctpoc,pctpov,pct_wo_car,pct_transit_users
06059086502,6662,3334,85625,23.3,96.38246772740918,16.10627439207445,1.3359351546082259,3.329334133173365
06059086601,8433,4139,62711,25.7,90.80991343531365,14.870152970473141,3.071267639037116,7.296448417492147
06059086602,5769,2680,68608,24.1,83.51534061362455,5.252210088403536,1.421390188940891,0.33582089552238803
06059086701,8211,3921,101875,28.6,75.49628547071002,7.709170624771648,1.6075995615637562,3.8510584034685027
06059086702,7307,3628,67278,30.9,88.42206103736143,13.986588203092925,1.9707130149172025,1.6538037486218304
06059086801,3483,1650,118025,23.2,73.52856732701693,14.29801894918174,0.22968705139247778,3.090909090909091
06059086802,5700,2901,113083,28.1,73.54385964912281,12.929824561403509,1.3333333333333335,0
06059086803,8032,3741,93558,35.1,77.20368525896414,10.893924302788845,3.436254980079681,1.5771184175354183
06059086901,8479,3334,48191,26.4,75.79903290482368,21.464795376813303,3.71506073829461,1.4697060587882422
06059086902,6028,2498,68698,25.1,59.953550099535505,16.357000663570005,6.0550763105507635,2.44195356285028
06059086903,6123,3069,80670,29.6,77.46202841744243,16.070553650171483,2.85807610648375,3.6819811013359396
06059087001,5458,2375,61600,25.8,75.94356907292048,26.016855991205567,1.3741297178453646,1.1368421052631579
06059087002,7140,3252,78595,25.6,78.79551820728291,24.66386554621849,3.3333333333333335,2.091020910209102
06059087101,4587,2466,75734,31.9,68.99934597776326,14.301286243732287,1.8748637453673425,0
06059087102,6521,2916,69917,33.8,84.37356233706487,19.920257629197977,2.453611409293053,1.6117969821673523
06059087103,8566,4409,100808,32.1,79.08008405323372,10.903572262432874,0.14008872285780996,1.066001360852801
06059087105,5565,2935,105770,25.3,80.88050314465409,5.55256064690027,2.6774483378256964,2.6235093696763205
06059087106,4881,2159,55108,31.1,90.88301577545585,8.89162056955542,3.237041589838148,8.522464103751737
06059087200,7200,3689,78173,21.4,77.05555555555556,16.22222222222222,3.8194444444444446,2.548116020601789
06059087301,4331,2192,80558,26.1,89.33271761717847,18.702378203648117,0.5541445393673516,0.45620437956204374
06059087302,6568,3363,76227,25.2,86.43422655298416,4.445797807551767,3.958587088915956,7.047279214986619
06059087401,5695,3411,142426,30.4,70.23705004389815,3.6347673397717295,0.45654082528533807,0.9674582233948988
06059087403,2559,1188,62798,25.2,95.31066822977726,16.608050019538883,0.9769441187964049,4.124579124579125
06059087404,4580,2010,68828,29.7,97.64192139737992,13.49344978165939,1.0043668122270744,5.124378109452736
06059087405,4785,2416,85337,29.3,92.05851619644723,17.889237199582027,1.316614420062696,4.801324503311259
06059087503,5971,3196,83250,28.7,83.47010550996484,6.179869368614972,0.7033997655334115,2.3779724655819776
06059087504,6718,3268,82986,24.4,90.80083358142305,17.29681452813337,1.860672819291456,3.7943696450428397
06059087505,4705,1926,54977,26.6,88.9691817215728,30.03188097768332,0.977683315621679,1.8691588785046727
06059087601,4653,2417,102292,24.8,88.99634644315495,6.683859875349237,1.9127444659359554,1.8204385601985933
06059087602,8169,3566,91464,28,83.82911005018974,10.637776961684416,0.8568980291345331,1.7106001121704992
06059087701,5554,2263,70944,32.9,68.79726323370544,25.729204177169606,3.5649981994958586,1.8117543084401235
06059087703,6554,2993,95500,30.4,87.03082087274947,6.713457430576747,0.4882514494964907,2.2051453391246243
06059087704,5010,2463,75139,26.9,78.80239520958084,9.66067864271457,1.2375249500998005,0.4466098254161592
06059087801,4960,2259,87875,29,77.27822580645162,10.94758064516129,2.6411290322580645,1.9477644975652944
06059087802,8467,3864,81250,29.1,79.59135467107595,13.475847407582378,0.4606117869375222,1.0869565217391304
06059087803,6358,2927,72553,28.5,91.44385026737967,12.346649889902485,1.0223340673167662,3.4164673727365904
06059087805,6547,3070,73600,26.9,82.54162211700016,14.311898579502062,3.8032686726745077,2.6058631921824107
06059087806,6078,2463,73125,28.4,85.24185587364265,15.926291543270812,2.533728200065811,2.8014616321559074
06059087901,3596,1648,59375,30.3,74.74972191323694,15.266963292547276,4.560622914349278,2.7305825242718447
06059087902,4821,2059,78871,28.7,90.70732213233768,15.826591993362374,2.9869321717485997,1.3598834385624088
06059088001,4413,2009,93125,29.9,73.17017901654204,16.270111035576708,1.4502605937004305,1.4932802389248383
06059088002,4237,1917,93676,26.8,83.97451026669813,10.573518999291952,2.265754071276847,0
06059088101,2245,1087,104306,31.6,76.25835189309576,12.47216035634744,0.579064587973274,0.8279668813247469
06059088104,4554,2141,86050,26.9,74.13263065436978,11.923583662714098,3.535353535353535,1.0742643624474544
06059088105,4835,2140,109840,29.7,86.05997931747673,12.5129265770424,2.047569803516029,0.5140186915887851
06059088106,5328,2982,83083,32.9,81.79429429429429,6.2124624624624625,1.0135135135135136,0.3688799463447351
06059088107,6039,2624,65766,31.3,87.36545785726113,13.379698625600264,1.8214936247723135,2.2484756097560976
06059088201,4161,1824,89922,32.1,79.47608747897141,20.5239125210286,1.6101898582071617,1.3157894736842104
06059088202,3534,1913,115972,27.7,75.09903791737408,4.074702886247878,0.1414827391058291,0
06059088203,4413,2055,87188,31.6,85.18014955812373,10.58237026965783,5.121232721504645,3.6009732360097324
06059088301,5692,2608,83500,28.8,82.71257905832748,14.054813773717498,1.5460295151089247,0.4217791411042945
06059088302,6423,3204,98705,28.6,73.15895998754476,10.58695313716332,0.4047952670091858,1.3420724094881398
06059088401,5376,2515,117763,28.8,80.95238095238095,4.947916666666666,0.3720238095238095,0.039761431411530816
06059088402,4216,2112,96143,27.9,84.93833017077799,9.297912713472485,1.9686907020872866,2.793560606060606
06059088403,6923,3501,102870,24.5,88.03986710963456,6.4567384082045365,1.4733497038855987,2.542130819765781
06059088501,7489,3733,93413,26.9,87.38149285618908,12.111096274535987,1.9228201361997594,0.669702652022502
06059088502,5040,2347,92458,26.2,77.36111111111111,12.857142857142856,2.4801587301587302,1.6190881976991904
06059088601,7095,4025,82829,28.9,87.10359408033827,13.911205073995772,1.620859760394644,0
06059088602,4233,2089,105372,25.9,84.85707536026459,13.560122844318451,0.23623907394283014,0.6223073240785064
06059088701,6115,2930,76364,33.3,81.94603434178251,13.000817661488142,1.9133278822567459,0.6825938566552902
06059088702,5364,2352,66048,26.5,91.44295302013423,12.639821029082773,2.796420581655481,0.8928571428571428
06059088801,7574,3534,72588,32,82.0702402957486,20.992870345920252,2.0728809083707422,1.1318619128466327
06059088802,5572,2622,74315,27,80.63531945441494,12.885857860732234,2.297200287150036,4.195270785659801
06059088901,6559,3099,74177,28.6,83.33587437109315,14.102759567007167,3.2017075773745995,0.6131010003226848
06059088902,5327,2479,87917,28.6,91.79650835366998,14.71747700394218,0.8635254364557912,1.653892698668818
06059088903,8509,4036,95088,27.8,90.45716300387825,9.789634504642143,1.6570689857797627,1.2140733399405352
06059088904,4904,2346,71440,24,96.04404567699837,16.12969004893964,2.2226753670473083,0
06059088905,5216,2257,92951,27.4,88.95705521472392,8.052147239263803,1.495398773006135,0.31014621178555607
06059089001,6318,3112,58711,28.3,93.49477682811016,8.135485913263691,0.39569484013928463,0
06059089003,4334,2002,88750,25.2,93.03184125519151,13.93631748961698,1.3151822796492847,0.5494505494505495
06059089004,6765,3333,71514,27.9,84.34589800443459,11.692535107169254,3.6363636363636362,3.5103510351035103
06059089102,6568,3180,96765,29,85.12484774665042,15.2557856272838,0.9135200974421437,0.7232704402515724
06059089104,4907,2106,60929,24.3,95.49622987568779,19.889953128184228,4.177705318932138,5.7929724596391265
06059089105,5910,2744,70938,28.2,96.2098138747885,16.58206429780034,1.9627749576988156,3.6807580174927113
06059089106,3992,1896,74000,25.9,91.70841683366734,14.10320641282565,2.379759519038076,3.9556962025316458
06059089107,5833,3177,126806,28.5,81.75895765472313,8.091890965198012,1.2686439225098578,6.515580736543909
06059099202,6876,3352,93068,27.3,87.88539848749272,10.427574171029669,1.0616637579988364,1.9689737470167064
06059099203,5567,2272,93005,25.8,85.64756601401113,6.574456619364109,1.1675947548051016,0
06059099204,5073,2316,83750,30.1,83.44175044352454,14.705302582298444,3.922728168736448,0.30224525043177897
