GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
370010208024,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,883,1067.0,0.6945,Forest,Google,0.5,0.3099,0.1901,0.674622576943889,0.940018744142456,0.940018744142456,0.60543580131209,0.6847718250565,0.072765072765073,0.161960968412581,1.155555555555555,0.536082474226804,0.577777777777778,0.073779193205945,0.467945485307929,0.938285425393615,6.8,0.69852648347272,66,84.0,,0.433926897844424,0.102155576382381,Yes,45.0,47,,,,,,,,,
370010208025,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,802,541.0,0.6513,Forest,Google,0.5,0.4054,0.0946,0.534373081772443,0.44362292051756,0.44362292051756,0.545286506469501,0.61674059479896,0.05241935483871,0.116675338189386,0.366161616161616,0.268022181146026,0.183080808080808,0.073779193205945,0.467945485307929,0.938285425393615,4.63,0.6121067303863,86,84.0,,0.197781885397412,0.070240295748614,Yes,21.0,47,,,,,,,,,
370010208026,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1148,1253.0,0.9569,Forest,Google,0.5,0.3864,0.1136,0.535361100101571,0.523543495610535,0.523543495610535,0.5219473264166,0.590343059526828,0.023054755043228,0.051315422515571,0.456976744186047,0.31364724660814,0.228488372093023,0.073779193205945,0.467945485307929,0.938285425393615,3.98,0.586220629231382,83,84.0,,0.142059058260176,0.171588188347965,Yes,27.0,47,,,,,,,,,
370010209011,Graham,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1414,898.0,1.4107,Forest,Google,0.5,0.3867,0.1133,0.346284470107457,0.291759465478842,0.291759465478842,0.229398663697105,0.259458957109829,0.00996015936255,0.022169386968256,0.479406919275124,0.324053452115813,0.239703459637562,0.026276049531863,0.166656183347533,0.336833870117729,4.3,0.598964555953803,89,89.0,,0.116926503340757,0.207126948775056,Yes,9.0,15,,,,,,,,,
370010209012,Graham,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1029,1271.0,2.2401,Forest,Google,0.5,0.4799,0.0201,0.37181477665798,0.378442171518489,0.378442171518489,0.162033359809373,0.183266135362724,0.0,0.0,1.245583038869258,0.554681353265146,0.622791519434629,0.026276049531863,0.166656183347533,0.336833870117729,-0.04,0.426125049780964,98,89.0,,0.284028324154209,0.270653029110936,Yes,5.0,15,,,,,,,,,
370010209013,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1428,1380.0,4.25,Forest,Google,0.5,0.5763,0.0,0.310977843867384,0.408695652173913,0.408695652173913,0.088405797101449,0.09999045133363,0.042626728110599,0.09487884643972,0.472785485592316,0.321014492753623,0.236392742796158,0.026276049531863,0.166656183347533,0.336833870117729,-3.27,0.297491039426523,100,84.0,,0.144927536231884,0.176086956521739,Yes,1.0,47,,,,,,,,,
370010209021,Graham,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,2095,2441.0,3.002,Forest,Google,0.5,0.4851,0.0149,0.326139297393594,0.233920524375256,0.233920524375256,0.238426874231872,0.269670220123164,0.037429378531073,0.083310552214325,0.575855390574564,0.365424006554691,0.287927695287282,0.019437340153453,0.123281580835581,0.380025818282233,-1.18,0.380724810832338,98,89.0,,0.215895124948791,0.149528881605899,,5.0,15,,,,,,,,,
370010209022,Graham,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1455,1770.0,2.2722,Forest,Google,0.5,0.53,0.0,0.346609245515807,0.320338983050847,0.320338983050847,0.206779661016949,0.233875970915949,0.001297016861219,0.002886908497552,0.986531986531986,0.496610169491525,0.493265993265993,0.019437340153453,0.123281580835581,0.380025818282233,-1.59,0.364396654719235,100,89.0,,0.252542372881356,0.24406779661017,,1.0,15,,,,,,,,,
370010210001,Graham,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1145,1559.0,0.7666,Forest,Google,0.5,0.4176,0.0824,0.577816400169655,0.631173829377806,0.631173829377806,0.642078255291854,0.726215889038004,0.1292984869326,0.287793406398367,0.705689277899344,0.41372674791533,0.352844638949672,0.018643672803542,0.1182477354235,0.98876404494382,4.61,0.611310234966149,87,89.0,,0.311096856959589,0.102629890955741,Yes,10.0,15,,,,,,,,,
370010210002,Graham,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1909,2012.0,1.6457,Forest,Google,0.5,0.3924,0.1076,0.612769079767228,0.707753479125249,0.707753479125249,0.71607411116675,0.809908127198118,0.169249106078665,0.376715752239609,0.788444444444444,0.440854870775348,0.394222222222222,0.018643672803542,0.1182477354235,0.98876404494382,4.14,0.592592592592593,82,89.0,,0.318588469184891,0.122266401590457,Yes,13.0,15,,,,,,,,,
